Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
1129.3,1146,1121.15,1136.55,11514169318,202222,10160320
1108,1121.1,1091.7,1112.75,9705243124,154736,8807127
1109.9,1123,1099,1104,10607037968,181645,9568890
1068,1116,1066.8,1093.95,17227273082,307084,15702690
1072,1079.4,1057.5,1062.55,7682963163,172016,7204782
1065,1079.95,1051.1,1072.3,7663961600,137700,7183119
1072,1083.6,1052.35,1060.6,9372342225,164698,8800436
1070,1082,1060.1,1074.85,7432955729,140609,6935804
1095.5,1104.75,1070.05,1076.55,8262761209,180559,7608413
1105.7,1109.7,1077.15,1090.85,11083562406,261137,10172530
1122.25,1129.6,1103.15,1112.45,7040841830,133779,6309643
1133,1135,1120.15,1122.5,10208894083,152888,9070121
1142,1158,1123.8,1129.05,12834266054,264809,11271538
1141.15,1154.35,1135,1148.35,22726337788,283354,19811809
1118.9,1144.7,1110,1137.5,11877155840,209442,10448852
1135,1139,1115.3,1125.9,14514954127,215472,12902146
1113.85,1135.95,1096.9,1127.5,20547237503,311640,18366133
1180,1186,1092.5,1108.25,49965128164,697193,44288566
1162,1164.9,1131.1,1137,19050428947,279112,16649731
1135.55,1166.05,1135.55,1157.8,20142492308,316392,17524137
1123,1140,1112.1,1132.1,16470282643,191485,14633780
1095.1,1113.3,1088.45,1106.8,11626421247,173995,10567955
1090,1124,1088.4,1093.7,23759656746,386362,21483024
1044.9,1072,1035.5,1066.55,9778824469,176585,9284060
1055,1060,1031.35,1055.75,9494983884,205608,9090819
1018.05,1054.9,1018.05,1048.7,14833226247,239001,14212560
1020.6,1026.5,1011.75,1017.65,5654650743,122973,5563432
1009,1023.95,1005,1008.25,8145908490,141642,8049899
1018,1028,1004.1,1009,8853558130,184552,8708572
1014.8,1016.15,998.5,1010.4,8596234609,165917,8554583
975.8,1014.9,975,1011.45,13288352062,230269,13311079
1003,1009,970,975.4,14235738440,273411,14427463
1020.15,1037,1008.1,1019.75,13810988923,258509,13486274
1009,1022.5,991.2,1007.5,12724148446,307283,12625775
1001,1031,1000.5,1009.9,14414221201,284118,14140790
1011,1018.8,999.1,1002.15,12991132019,228827,12897897
995,1021,995,1011,15792764186,340784,15628308
986,1005.65,982,1001.75,9973473916,239939,10059392
979.5,994,971.65,982.45,11402371129,252665,11608223
957,991.05,948.3,978.4,21347911660,342353,21871591
934.9,954.15,931,945.7,6307865396,124065,6672082
935.3,942,924.8,940.05,4831122432,101735,5172091
935,946,926,927.75,5163032077,133068,5529150
929.95,952,925.55,939.3,12154247390,200293,12892115
918.9,927.55,913.05,925.05,6172952177,101639,6700450
915,929.5,914.45,919.15,7974078251,146258,8650414
926.5,949.4,924,935.55,8275049706,130511,8828016
915,926.4,913.5,924,5229493200,105709,5678696
926.25,935,912.1,914.15,6367507048,117189,6907783
935.25,950.5,914.6,928.6,11954811845,206060,12808369
951.45,952.5,933.05,935.25,7142134781,180829,7593988
960,960.95,945.2,947.05,5859108364,124639,6154300
941.25,954.25,938.4,950.8,4870349606,114894,5153663
947.5,948.65,933.6,938.1,5863927590,105761,6233923
947,952,939.2,947.4,5486819045,153799,5798579
963.05,963.45,946.55,948.8,6200435489,123340,6513784
958.9,965.5,951.3,955.15,5416530384,123695,5656667
970.9,971.55,957.45,959.3,6378066101,125391,6622744
963.9,969.2,958.7,967.55,5922744205,119041,6142171
954.1,972.45,954.1,957.5,8669769420,140270,9008716
955.85,963,952.05,953.6,4464257395,88402,4663873
954.8,968.5,948.25,951.2,4876025984,87144,5097705
948,958.8,942.2,954.95,6564723271,89286,6908732
949.9,962,946.1,948.45,6485671475,92778,6802508
948.9,956.8,945.3,951.35,5446342904,102663,5716472
969.45,969.45,949,950.9,7652389955,159251,8010973
953.5,974.4,942.5,970.85,10560771158,202937,10976523
952,960.95,938.3,944.7,9113224805,170591,9616176
960.45,970.7,940.55,949.85,10576516986,166839,11133259
960,965.4,947.45,956.9,8098076651,164566,8480166
969.25,986.45,953.3,966,12337423708,195979,12704359
962,972.65,958.75,961.45,12062741577,222807,12492569
953.25,960,943.6,954.15,10619817806,212215,11152710
946,967.55,941.2,962.85,15085058374,220010,15819466
921.55,952.8,918.65,948.45,15804436677,278528,16828218
903.25,925.75,903.25,922.85,16666989754,240036,18209670
915.65,915.8,900.65,907.95,11843097056,203420,13052804
938.95,939,910,917.9,13226774281,191180,14354421
945,949.7,929.2,936.75,12068383201,209340,12877814
908.5,945,906.75,934.3,16977458353,242092,18421083
911,919.9,892.15,903.15,28632889196,432265,31682904
900.1,955.5,894.25,911,83239052701,936612,90433393
799,848.45,794.8,830.95,24919080835,376383,30060998
792.95,806.4,781.35,783.25,7119121563,139180,8961822
788,805.35,786.05,797.05,8618519870,150013,10804911
773.5,789.9,773.5,781.85,4073445026,94276,5206452
780,790,775,781.7,5354314428,130712,6854196
784.9,784.9,772.2,774.7,6599550757,145325,8476675
769.4,796.95,765.55,794.15,15215059540,321825,19362666
765.2,775,761.5,764,6767835779,180660,8811009
755,764,752.5,762.7,5920349097,148320,7796573
737.35,765.45,735.4,756.6,13057143719,207044,17263764
737.25,742.3,729.75,731.9,4031836580,101474,5477687
732.8,738.95,724.25,735.95,7639234133,140340,10411347
735.4,744.7,730.1,731.75,6582024856,128524,8954490
710.2,751.6,710,748.2,19263536479,378564,26030535
704.85,705.6,693.5,700.5,10466323460,214685,14945304
716.9,726.8,709.4,714.15,7333276140,147819,10220908
695.7,724.5,692.1,720.65,8672464910,203759,12157486
707.1,708.7,700,703.7,5485377026,145862,7804139
709,711.9,701,705.55,15816432220,266933,22438873
708.2,716.6,706,713.9,4748091716,174646,6670206
699.9,710.3,698,703.65,5143752646,136959,7291919
702,712,699.15,701.2,7144207775,170413,10132423
693,704.4,685.25,687.55,5441612327,105262,7857344
675.8,695.15,675.5,692.05,6723519558,165667,9796064
712,713.4,700.25,703.95,6246123986,140529,8825914
715,719.45,709.2,715.85,5197377191,121854,7263272
720,729.6,715.05,717.6,7273061785,173628,10078863
707.65,725.8,704,720.85,7704389373,180849,10719124
707,711.7,700.6,703.55,5448030852,124734,7718943
702,709.45,697.5,707.75,7593495551,134508,10783594
710.7,711.9,696,701.55,7995869972,179242,11378568
700.5,711.65,697.55,708.1,4986183795,123937,7059409
698.75,706.65,691.5,699.55,8596981340,166839,12276649
692.5,700.8,674.95,691,19543032832,241793,28291172
707,710,690,707.4,6607699864,141590,9440121
686.05,709.2,675,705.45,6088143746,155415,8774694
693,699.45,679,680.55,4895318484,122600,7099719
675,695.85,673.5,692.35,8169629532,201776,11867864
666.5,679.45,665.4,672.2,4850780460,122009,7214401
668.5,673,659.65,669.55,3862248244,104746,5795193
664,674.8,655,668.6,3943378544,121850,5902238
659.85,670.55,653,663.9,6924280885,160262,10435495
664.8,664.8,646.7,652.3,6038757599,159733,9255353
659,671.75,652.6,658.15,11193113876,284577,16888356
694.8,699.9,683.75,694.15,5750758216,156513,8287106
678.5,691,675.5,687.65,5037715533,165655,7356063
682.5,698.55,678,682.9,5077673284,157658,7370192
672.25,680.9,668.5,674.2,5669937480,206669,8400376
665.55,674.35,662.45,664.95,3196499217,93851,4779550
676.9,681.45,664.05,665.9,5324157713,211094,7934457
681.75,685.6,670,673.7,4342730627,132076,6393108
689.8,701.2,670.35,673.7,6259591493,177978,9122803
700,720,698.1,715.5,11564226726,277142,16254036
666,682,658,676.55,5805084866,175742,8639246
673,677,653.05,660.7,4814874279,128788,7296594
661.05,681,661.05,664.6,4817370468,143869,7183316
668.55,675,654.8,658,4849470612,162251,7319950
647.05,683.65,638.1,679.3,9611440871,225884,14451294
633.2,645,628.05,641.85,5289759466,148917,8267159
627.8,646.5,627.8,633.2,7443524923,195803,11660678
640,661,639,653.3,8709344590,220363,13322995
644,646,626,628.75,5624422628,220448,8878372
619.95,634.9,603.5,623.85,11034508895,254606,17783310
651.4,653.3,635.6,639.05,7726657237,278339,11963493
629,651.7,626.05,637.4,5341425789,232090,8330291
646.8,652.8,632.1,636.25,7639338597,232901,11931287
630,655.65,626.35,631.6,7526162136,235881,11806901
615,644.25,612.9,639,9506714566,260480,15146526
603.5,606,582.15,585.7,6056725608,261228,10221890
634.35,637.5,594,602.8,8005888361,379235,13083865
650,662,633.7,641.5,9830768498,279311,15175528
625.1,663.5,621.1,626.7,9343228364,230047,14625720
665.05,674.9,642.25,652.7,8823242465,262091,13495469
615,650.85,612.1,643,9497347855,291975,14868843
597,635,565.7,606.2,10944193384,429544,18339650
522,601.15,522,589.8,11471457437,434375,20029537
540,560.95,515.9,526.45,9110393753,258952,17146303
549.5,617.45,548,585.2,12495510371,407561,21356183
509.25,558,509.25,545.55,8969244995,313532,16584106
568,578,528,534.3,8510344347,235885,15391568
588.1,592,550,554.95,9186285698,359329,16060126
622,622.15,580,583.15,11434179964,462293,19140854
592,667,570,642.35,10632077963,286353,16903140
668,670,627.5,631.2,9000417645,265786,13965689
690.65,695.95,669.05,686,11087131349,233010,16165054
724.5,725.85,697,704.45,7274162430,180848,10308697
741,744,729.1,738.95,6806310521,147517,9216022
763.75,773.55,751.75,754.6,5922737657,124093,7755293
753.9,761.5,745.55,758.75,8295623047,155822,11013444
